,STATEFP,COUNTYFP,GEOID,node_density_km,street_density_km,circuity_avg,street_length_total,street_segment_count,streets_per_node_avg,orientation_entropy
0,08,51,8051,1.3290050377773517,1030.188518523514,1.2397880850835563,8697269.648552122,14404,2.579144385026738,3.5216122637297276
1,08,69,8069,18.13251478863944,2705.428789612949,1.1647041150243505,18456432.83218482,169598,2.7430396119644302,3.220757371593702
2,08,93,8093,2.5533281054908694,1228.8716125136946,1.168436346482469,7034903.317550509,17265,2.3707327084901144,3.5553519246217857
3,08,67,8067,3.019379175093403,1258.5251716811797,1.1927008093005114,5539899.789597348,16701,2.5174178015198256,3.5148409032207377
4,22,109,22109,2.7207570031623343,438.68256355226845,1.0829551727753457,2365808.209818429,19880,2.7164860628365024,3.527608194363422
5,08,5,8005,75.64891439279415,6196.248692604087,1.1166650700366911,12927288.517715693,221716,2.8137961185348512,3.250440649291725
6,08,59,8059,62.72499133613717,7096.421481118014,1.153009398400012,14227011.83506467,175785,2.7999077549462434,3.2514628763550286
7,22,101,22101,2.308564413689127,612.2179142894319,1.0761140693597364,1775475.2312142735,8701,2.60134428678118,3.5226253718842813
8,08,3,8003,3.5397170528706936,1087.1916554938932,1.0653112022333213,2036650.884774365,9715,2.9402805006786306,2.6653082933580525
9,08,35,8035,56.52942063977585,5750.445015210081,1.1590461702236334,12562913.27411428,166936,2.703333630231824,3.4911888324385703
10,22,89,22089,8.11394302820943,1539.236800201275,1.0942965140314596,1582310.1180083181,10838,2.600647404387963,3.5109941908810463
11,22,45,22045,2.9415117202870675,659.6745903071729,1.0621062218361212,1777514.8630937245,10395,2.6309613928841786,3.48336223243445
12,22,73,22073,12.379855469334197,2386.7147243883733,1.0903290252616435,3904965.357813377,27272,2.6943964453221425,3.3927524797406545
13,22,87,22087,0.8473741994779821,143.42812858749662,1.077512407128609,800608.5725017247,6735,2.8496828752642704,3.2679682468335662
14,22,27,22027,2.325169703654532,1308.9607063177336,1.0864452606387074,2601404.712261359,5440,2.3795715213157327,3.4411127423333796
15,22,11,22011,3.9058914280606905,1660.3188359438814,1.069182492401961,5013826.172757045,14030,2.387621873675286,2.9841322217606403
16,08,113,8113,1.078251697529607,947.7413101650849,1.2429227268962346,3163381.039045832,4529,2.541261461517088,3.532258780133982
17,22,29,22029,2.7876458342476647,1345.1269968206243,1.095267077802585,2603740.111341287,6549,2.430689399555226,3.5050618861438196
18,22,75,22075,1.1413541811607801,182.1233304753049,1.0762650728692993,1210959.7334382487,9246,2.4378706021873766,3.4415653731296834
19,22,43,22043,2.832411958684991,1375.4652695043328,1.0878787682109983,2368350.4437988014,5907,2.4381792085298337,3.492335878710981
