GEOID,count
34019,26
34021,77
34023,175
34025,144
34027,100
34029,126
34031,100
34033,24
34035,68
34037,41
34039,108
34041,23
35001,153
35005,16
35006,7
35009,12
35013,41
35015,12
35017,8
35025,18
35027,5
35029,6
35028,4
35031,17
35035,16
35039,9
35041,5
35043,28
35047,7
35045,33
35049,50
35051,4
35053,6
35057,4
35055,6
35061,18
36001,75
36003,13
36005,339
36007,55
36009,21
36011,19
36015,22
36013,35
36017,12
36019,19
36021,21
36023,12
36025,14
36027,79
36029,237
36033,14
36031,13
36035,15
36037,15
36039,15
36041,4
36043,19
36045,26
36047,761
36049,7
36051,15
36055,192
36057,16
36059,279
36061,288
36063,61
36067,140
36069,25
36071,79
36073,10
36075,29
36077,17
36079,19
36081,669
36083,42
36085,109
36087,65
36089,28
36091,50
36093,43
36095,8
36097,5
36099,10
36101,30
36103,323
36105,24
36107,10
36109,23
36111,47
36113,19
36115,17
36117,23
36119,223
36121,11
36123,5
37001,36
37003,7
37007,6
37009,6
37011,5
37013,11
37015,4
37017,6
37019,33
37021,56
37023,18
37025,37
37027,17
37031,38
37033,6
37035,31
37037,13
37039,7
37047,13
37045,22
37049,21
37051,68
37053,8
37055,11
37059,7
37057,34
37061,11
37063,60
37065,14
37069,12
37067,93
37071,65
37077,13
37079,4
37081,119
37083,12
37085,27
37087,16
37089,27
37091,5
37093,9
37097,44
37099,9
37101,25
37105,13
37107,15
37109,18
37111,10
37113,9
37115,6
37117,6
37119,233
37123,6
37121,4
37125,18
37127,18
37129,45
37131,5
37133,32
37137,4
37135,28
37139,10
37141,16
37145,7
37147,32
37149,7
37151,28
37155,31
37153,11
37157,21
37159,30
37161,13
37163,11
37165,7
37167,13
37169,9
37171,22
37175,7
37173,5
37179,41
37181,10
37183,187
37185,6
37189,13
37191,26
37193,14
37195,19
37199,5
37197,7
38003,4
38005,4
38015,19
38017,33
38035,18
38053,4
38059,5
38067,5
38077,6
38079,4
38089,8
38097,4
38093,6
38099,6
38101,13
39001,6
38105,7
39003,33
39005,11
39007,25
39011,11
39009,15
39013,20
39015,9
39017,80
39019,7
39021,10
39023,44
39025,40
39029,24
39027,9
39031,10
39033,13
39035,446
39037,12
39039,9
39041,35
39043,19
39045,28
39047,7
39049,284
39051,9
39053,7
39055,21
39057,35
39059,10
39061,222
39065,7
39063,13
39067,5
39069,7
39071,9
39075,8
39073,7
39077,13
39079,7
39081,23
39083,12
39085,59
39087,16
39089,32
39091,11
39093,73
39095,127
39097,12
39099,70
39101,18
39103,37
39105,6
39107,9
39109,21
39111,4
39113,153
39115,4
39117,6
39119,19
39125,5
39123,13
39127,6
39129,13
39131,6
39133,35
39135,12
39137,7
39139,30
39141,17
39143,15
39145,20
39147,14
39149,10
39151,86
39153,135
39155,55
39157,21
39159,10
39161,9
39165,33
39167,16
39169,32
39171,9
39173,28
39175,6
40001,5
40005,4
40009,4
40011,5
40013,11
40015,8
40017,29
40019,11
40021,9
40023,5
40027,62
40031,32
40035,5
40037,21
40039,5
40041,9
40047,12
40049,9
40051,10
40061,4
40063,5
40065,8
40071,11
40073,4
40079,12
40081,7
40083,8
40087,6
40091,6
40089,8
40095,4
40097,9
40103,4
40101,16
40105,4
40107,4
40109,241
40111,10
40113,11
40115,9
40117,5
40119,17
40121,13
40123,10
40125,16
40131,28
40133,9
40135,9
40137,11
40139,5
40141,5
40143,175
40145,22
40147,13
40149,4
40153,5
41001,6
41003,18
41005,80
41007,11
41009,10
41011,13
41013,4
41015,5
41017,24
41019,22
41027,4
41029,41
41031,6
41033,16
41035,20
41039,86
41041,18
41043,21
41045,8
41047,58
41051,171
41053,12
41057,8
41059,15
41061,8
41065,8
41067,104
42001,23
41071,17
42003,402
42005,19
42007,51
42009,11
42011,90
42013,34
42015,14
42017,143
42019,44
42021,42
42025,12
42027,31
42029,116
42031,10
42035,9
42033,20
42037,15
42039,23
42041,49
42043,65
42045,144
42047,9
42049,71
42051,36
42055,27
42059,9
42061,12
42063,23
42065,13
42067,5
42069,59
42071,98
42073,28
42075,31
42077,76
